Customer Name,Sub-Category,Profit
Elpida Rittenbach,Appliances,22.5852
Rick Bensley,Paper,22.6184
Gary Zandusky,Paper,11.7208
Janet Martin,Accessories,17.6016
Janet Martin,Phones,2.0994
Janet Martin,Art,1.0738
Pete Armstrong,Accessories,67.992
Cynthia Voltz,Furnishings,10.9096
Clay Ludtke,Art,22.788
Clay Ludtke,Binders,13.3476
Ryan Crowe,Fasteners,14.5348
Ryan Crowe,Envelopes,1.652
Ryan Crowe,Paper,7.4925
Ryan Crowe,Envelopes,44.0316
Steven Cartwright,Furnishings,18.3456
Steven Cartwright,Binders,13.878
Steven Cartwright,Storage,63.4368
Steven Cartwright,Envelopes,51.759
Steven Cartwright,Phones,19.7316
Troy Staebel,Storage,30.499
Lindsay Shagiari,Furnishings,26.2416
Dorothy Wardle,Paper,29.364
Dorothy Wardle,Fasteners,6.9732
Lena Creighton,Paper,9.6192
Lena Creighton,Paper,16.6568
Lena Creighton,Art,3.456
Lena Creighton,Fasteners,1.9698
Lena Creighton,Binders,26.6616
Lena Creighton,Supplies,18.4464
Lena Creighton,Furnishings,20.6976
Jonathan Doherty,Furnishings,10.35
Sally Hughsby,Art,2.3814
Sally Hughsby,Envelopes,5.1042
Sally Hughsby,Paper,68.976
Sandra Glassco,Appliances,218.2518
Helen Andreada,Storage,20.1579
Maureen Gastineau,Furnishings,12.9096
Justin Ellison,Phones,103.8015
Justin Ellison,Phones,5.9988
Justin Ellison,Chairs,585.552
Justin Ellison,Binders,80.6285
Tamara Willingham,Appliances,17.766
Tamara Willingham,Phones,15.2388
Stephanie Phelps,Paper,26.271
Stephanie Phelps,Paper,48.5392
Stephanie Phelps,Storage,21.0288
Neil Knudson,Art,1.7901
Dave Brooks,Chairs,51.4764
Nora Paige,Labels,6.8714
Nora Paige,Phones,236.2325
Ted Trevino,Paper,2.691
Eric Murdock,Accessories,1.3596
Ruben Dartt,Envelopes,13.348
Max Jones,Binders,9.688
Becky Martin,Art,2.7324
Becky Martin,Art,6.8136
Becky Martin,Phones,8.9985
Chad Sievert,Paper,9.8418
Chad Sievert,Paper,53.2608
Chad Sievert,Chairs,21.259
Jennifer Braxton,Labels,6.552
Jim Kriz,Art,1.4104
David Kendrick,Storage,1.8612
David Kendrick,Accessories,76.6395
Robert Marley,Phones,131.0296
Robert Marley,Phones,41.986
Robert Marley,Accessories,7.25
Sally Knutson,Binders,3.4368
Frank Merwin,Accessories,22.984
Alice McCarthy,Storage,3.7224
Alice McCarthy,Paper,6.255
Mark Packer,Bookcases,112.392
Mark Packer,Phones,20.0928
Mark Packer,Paper,24.8832
Mark Packer,Bookcases,46.9764
Mark Packer,Art,6.567
Mary Zewe,Envelopes,6.7116
Cassandra Brandow,Art,1.2038
Cassandra Brandow,Art,1.5876
Valerie Mitchum,Storage,12.0276
Fred Hopkins,Paper,5.8203
Maria Bertelson,Paper,6.795
Bruce Stewart,Appliances,0.2925
Heather Kirkland,Furnishings,9.6712
Laurel Elliston,Phones,44.4768
Joseph Holt,Storage,5.8744
Joseph Holt,Phones,35.6346
Joseph Holt,Binders,7.4824
Joseph Holt,Fasteners,16.2099
Joseph Holt,Storage,3.6796
Michael Stewart,Accessories,6.5
Victoria Wilson,Labels,8.88
Victoria Wilson,Accessories,4.4792
Jonathan Howell,Storage,26.0568
Jonathan Howell,Phones,22.6782
Joni Blumstein,Fasteners,1.8148
Joni Blumstein,Paper,8.2302
Joni Blumstein,Furnishings,19.0848
Joni Blumstein,Art,2.7168
David Smith,Art,0.968
David Smith,Storage,0.2198
Valerie Dominguez,Chairs,43.8408
David Bremer,Paper,4.752
Ken Lonsdale,Paper,9.396
Ken Lonsdale,Phones,11.1944
Ken Lonsdale,Art,1.2038
Dianna Wilson,Chairs,580.5394
Dianna Wilson,Storage,41.68
Dianna Wilson,Paper,23.94
Dianna Wilson,Appliances,496.0725
Dianna Wilson,Paper,12.4416
Logan Haushalter,Chairs,28.1372
Kelly Collister,Paper,3.5767
Kelly Collister,Accessories,636.0003
Delfina Latchford,Storage,22.5624
Delfina Latchford,Envelopes,162.864
Dan Reichenbach,Storage,4.044
Dan Reichenbach,Phones,56.6916
Craig Carreira,Accessories,6.9258
Craig Carreira,Storage,6.6465
Craig Carreira,Binders,6.132
Roy Collins,Phones,28.7196
Alan Hwang,Accessories,35.156
Claudia Bergmann,Art,4.7304
Paul Gonzalez,Fasteners,0.3024
Christine Abelman,Envelopes,21.591
Kristen Hastings,Storage,210.4936
Helen Andreada,Accessories,92.3692
Helen Andreada,Furnishings,2.3232
Helen Andreada,Binders,4.095
Barry Blumstein,Paper,4.0572
Barry Blumstein,Art,1.5548
Andrew Gjertsen,Paper,4.0768
Andrew Gjertsen,Paper,5.9072
Andrew Gjertsen,Storage,5.9712
Andrew Gjertsen,Labels,8.694
Steven Cartwright,Phones,376.11
Tracy Blumstein,Paper,47.844
Tracy Blumstein,Accessories,47.96
Tracy Blumstein,Paper,10.8864
Alan Haines,Appliances,24.316
Nick Zandusky,Fasteners,6.6836
Nick Zandusky,Labels,6.2424
Nick Zandusky,Accessories,54.3966
Kelly Lampkin,Furnishings,78.8592
Kelly Lampkin,Chairs,20.1558
Kelly Lampkin,Fasteners,9.2988
Jonathan Doherty,Paper,15.552
Jonathan Doherty,Storage,10.8248
Jonathan Doherty,Paper,27.3168
Jonathan Doherty,Furnishings,38.024
Jonathan Doherty,Binders,6.5688
Alan Schoenberger,Furnishings,12.864
Ken Brennan,Art,2.8536
Corey Roper,Binders,20.9208
Corey Roper,Art,83.868
Shahid Hopkins,Art,2.0049
Ben Peterman,Furnishings,3.5948
Ben Peterman,Chairs,52.5114
Ben Peterman,Furnishings,1.7136
Ben Peterman,Labels,2.0358
Thomas Seio,Furnishings,37.6422
Andy Gerbode,Phones,22.298
Andy Gerbode,Paper,5.4432
Sung Pak,Art,8.6744
Nathan Mautz,Chairs,24.1568
Nathan Mautz,Machines,1995.99
Nathan Mautz,Phones,80.0226
Nathan Mautz,Accessories,129.6
Nathan Mautz,Storage,13.071
Frank Atkinson,Fasteners,3.58
Grace Kelly,Binders,81.744
Grace Kelly,Accessories,34.9965
Don Jones,Furnishings,0.9995
Patrick O'Brill,Storage,3.389
Patrick O'Brill,Labels,33.831
Doug Bickford,Binders,1.6038
Doug Bickford,Copiers,335.9944
Doug Bickford,Binders,4.49
Alyssa Crouse,Binders,2.7956
Ken Lonsdale,Fasteners,2.3312
Jonathan Doherty,Art,1.116
Jonathan Doherty,Fasteners,10.0724
Jonathan Doherty,Phones,8.3916
Clay Cheatham,Phones,4.7976
Tamara Dahlen,Art,3.0996
Tamara Dahlen,Paper,11.5432
Tamara Dahlen,Art,4.1472
Adam Bellavance,Accessories,2.3086
Adam Bellavance,Paper,11.5432
Adam Bellavance,Binders,1.0668
Adam Bellavance,Paper,23.0864
Adam Bellavance,Binders,1415.4296
Jeremy Lonsdale,Envelopes,3.7996
Jeremy Lonsdale,Art,6.9864
Jeremy Lonsdale,Paper,15.824
Heather Kirkland,Paper,11.325
Victoria Brennan,Appliances,168.4384
Victoria Brennan,Labels,9.936
Katrina Willman,Labels,9.936
Katrina Willman,Chairs,86.8704
Katrina Willman,Art,1.4456
Katrina Willman,Furnishings,20.7328
Julia Dunbar,Storage,8.4784
Michael Kennedy,Binders,10.44
Michael Kennedy,Supplies,0.1472
Michael Kennedy,Storage,29.3412
Michael Kennedy,Bookcases,271.4192
Guy Thornton,Paper,9.396
Guy Thornton,Storage,4.6746
Arthur Gainer,Accessories,179.1888
Arthur Gainer,Art,0.924
Muhammed MacIntyre,Paper,30.98
Russell Applegate,Storage,2.6811
Alejandro Savely,Paper,25.48
Alejandro Savely,Binders,17.3376
Laura Armstrong,Accessories,8.799
Dean Katz,Furnishings,0.777
Nathan Gelder,Art,0.4264
Mike Vittorini,Binders,7.884
Mike Vittorini,Accessories,13.5932
Jack Garza,Phones,27.7182
Jack Garza,Copiers,701.9883
Victor Preis,Binders,25.5798
Saphhira Shifley,Storage,9.4924
Saphhira Shifley,Paper,6.2208
Harold Pawlan,Supplies,21.036
Anna Gayman,Storage,3.5952
Anna Gayman,Accessories,0.7198
Luke Foster,Paper,3.4684
Stephanie Phelps,Art,9.768
Roy FranzÃÂÃÂ¶sisch,Appliances,9.6957
Keith Herrera,Accessories,37.7895
Keith Herrera,Copiers,434.9913
Keith Herrera,Paper,13.3035
Keith Herrera,Paper,4.6464
Keith Herrera,Labels,13.608
Keith Herrera,Paper,27.4302
Keith Herrera,Bookcases,31.4548
Kimberly Carter,Paper,65.7342
Kimberly Carter,Chairs,26.8744
Caroline Jumper,Art,25.8984
Philip Brown,Chairs,38.38
Victoria Brennan,Paper,2.8322
Sung Pak,Art,2.7028
Sung Pak,Envelopes,7.015
Joel Eaton,Accessories,56.5662
Michael Paige,Furnishings,14.7056
Michael Paige,Storage,8.502
Natalie Fritzler,Chairs,225.264
Janet Molinari,Furnishings,11.076
Janet Molinari,Binders,138.2016
Shirley Daniels,Machines,30.0957
Ken Heidel,Art,0.5004
Ross Baird,Accessories,76.6395
Ross Baird,Accessories,54.7425
Dave Brooks,Storage,207.147
Philisse Overcash,Machines,43.1991
Philisse Overcash,Paper,113.6394
Brenda Bowman,Paper,11.5536
Cynthia Voltz,Chairs,2.3094
Pete Kriz,Furnishings,3.666
Pete Kriz,Storage,23.3928
Pete Kriz,Storage,20.5755
Pete Kriz,Paper,42.0256
Pete Kriz,Chairs,29.1528
Pete Kriz,Labels,10.584
Troy Blackwell,Furnishings,1.3677
Raymond Buch,Art,15.4752
Raymond Buch,Storage,9.7164
Raymond Buch,Art,71.2476
Raymond Buch,Art,7.9248
Raymond Buch,Art,2.8536
Raymond Buch,Phones,9.1312
Ed Braxton,Storage,66.5408
Ken Heidel,Accessories,24.9132
Natalie Fritzler,Envelopes,3.348
Joseph Holt,Appliances,36.372
Joseph Holt,Accessories,377.9622
Joseph Holt,Binders,18.6006
Tanja Norvell,Furnishings,7.068
Tanja Norvell,Appliances,5.8704
Maya Herman,Paper,26.6304
Jeremy Pistek,Storage,3.4092
Jeremy Pistek,Bookcases,10.4784
Jeremy Pistek,Phones,87.996
Jeremy Pistek,Storage,24.9804
Jeremy Pistek,Paper,28.819
Jeremy Pistek,Paper,45.528
Kristen Hastings,Phones,7.182
Jeremy Ellison,Furnishings,19.296
John Grady,Art,6.615
John Grady,Storage,84.51
Xylona Preis,Accessories,1.9089
Erin Mull,Art,1.6688
Erin Mull,Accessories,57.5928
Michelle Tran,Labels,14.8
Michelle Tran,Phones,17.4975
Sue Ann Reed,Phones,341.994
Carl Weiss,Phones,0.5994
Carl Weiss,Accessories,10.3974
Carl Weiss,Art,6.1572
Astrea Jones,Storage,8.983
Astrea Jones,Envelopes,5.0922
Sonia Sunley,Accessories,13.1572
Maribeth Dona,Envelopes,51.6558
Sanjit Chand,Binders,40.3704
Sanjit Chand,Furnishings,81.8432
Sanjit Chand,Chairs,18.1176
Sanjit Chand,Furnishings,22.869
Maribeth Yedwab,Chairs,50.098
Maribeth Yedwab,Paper,11.8871
Ed Braxton,Binders,5.373
Christopher Martinez,Art,0.7398
Christopher Martinez,Art,2.1684
Christopher Martinez,Storage,11.685
Christopher Martinez,Binders,3177.475
Lynn Smith,Furnishings,40.416
Lynn Smith,Accessories,12.1728
Luke Foster,Art,0.7152
Bradley Nguyen,Art,1.7901
Bradley Nguyen,Art,1.7052
Alan Dominguez,Copiers,1379.977
Alan Dominguez,Storage,13.8915
Alan Dominguez,Paper,5.382
Alan Dominguez,Storage,56.301
Dean Braden,Accessories,5.2877
Logan Haushalter,Accessories,27.1666
Brian Dahlen,Fasteners,10.434
Patricia Hirasaki,Chairs,42.747
Patricia Hirasaki,Furnishings,5.1408
Mike Gockenbach,Envelopes,19.692
Karen Bern,Chairs,11.92
Jasper Cacioppo,Furnishings,2.397
Rob Lucas,Phones,274.386
Rob Lucas,Binders,11.375
Allen Armold,Storage,1.4672
Mark Packer,Binders,3.36
Darren Koutras,Appliances,41.2938
Darren Koutras,Chairs,70.98
Bradley Drucker,Accessories,206.316
Erin Smith,Phones,38.0864
Paul Gonzalez,Accessories,7.264
Paul Gonzalez,Phones,6.2995
Adrian Shami,Binders,13.932
Adrian Shami,Paper,6.4128
Dean Katz,Storage,15.642
Ryan Crowe,Furnishings,6.0382
Greg Tran,Fasteners,2.5707
Dean Katz,Storage,310.9872
Ashley Jarboe,Art,3.4048
Olvera Toch,Labels,9.936
Olvera Toch,Paper,15.552
Liz Pelletier,Furnishings,16.614
Liz Pelletier,Binders,27.3182
Cynthia Arntzen,Appliances,1.3
Cynthia Arntzen,Furnishings,3.7743
Jeremy Farry,Labels,1.2006
Frank Preis,Phones,46.797
Ellis Ballard,Paper,45.0016
Ellis Ballard,Binders,27.3672
Ellis Ballard,Paper,9.3312
Jennifer Ferguson,Labels,34.776
Jennifer Ferguson,Fasteners,6.4216
Jennifer Ferguson,Binders,11.2266
Jennifer Ferguson,Phones,4.0095
Sarah Foster,Art,2.3814
Trudy Glocke,Paper,78.7528
Trudy Glocke,Paper,9.7608
Trudy Glocke,Supplies,2.19
Carlos Soltero,Storage,8.714
Charles Crestani,Supplies,1.5456
Dianna Vittorini,Phones,52.9173
Dianna Vittorini,Phones,9.2386
Dianna Vittorini,Appliances,3.5046
Dianna Vittorini,Phones,30.4776
Bruce Degenhardt,Chairs,4.9686
Bruce Degenhardt,Labels,144.5157
Zuschuss Carroll,Paper,7.2576
Zuschuss Carroll,Paper,3.6288
Melanie Seite,Art,1.168
Melanie Seite,Accessories,9.75
Lena Radford,Appliances,22.0748
Lena Radford,Copiers,434.9913
Lena Radford,Phones,55.745
Lena Radford,Furnishings,91.7728
Theone Pippenger,Supplies,1.0178
Chloris Kastensmidt,Supplies,0.73
Alan Shonely,Storage,17.847
Alan Shonely,Furnishings,5.1408
Alan Shonely,Paper,47.8152
Andrew Roberts,Art,2.3814
Nona Balk,Phones,41.5773
Nona Balk,Labels,5.6956
Giulietta Dortch,Paper,2.64
Clytie Kelty,Phones,15.992
Nat Gilpin,Furnishings,15.7872
Nat Gilpin,Furnishings,3.0814
Nat Gilpin,Binders,33.57
Nat Gilpin,Phones,10.9939
Nat Gilpin,Furnishings,27.2862
Sylvia Foulston,Chairs,87.5684
Sylvia Foulston,Appliances,178.901
Sylvia Foulston,Storage,130.87
Sylvia Foulston,Art,46.9278
Meg O'Connel,Furnishings,12.0904
Annie Thurman,Appliances,28.1764
Logan Currie,Binders,5.1435
Logan Currie,Paper,6.0858
Fred McMath,Accessories,29.95
Fred McMath,Phones,30.0768
Brian Dahlen,Accessories,2.4585
Brian Dahlen,Labels,85.5297
Denny Joy,Chairs,43.2234
Max Engle,Appliances,12.2328
Rick Bensley,Furnishings,272.792
Rick Bensley,Binders,5.0128
Justin Deggeller,Furnishings,6.0288
John Lee,Storage,85.904
John Lee,Labels,12.6
Sean Christensen,Accessories,54.3332
Tamara Willingham,Paper,3.1752
Chuck Clark,Appliances,56.511
Barry Blumstein,Fasteners,9.8625
Barry Blumstein,Appliances,3.0144
Anthony Rawles,Furnishings,6.068
Anthony Rawles,Phones,22.6782
Anthony Rawles,Accessories,31.6
Steven Roelle,Paper,178.318
Allen Rosenblatt,Paper,45.9754
Allen Rosenblatt,Accessories,10.312
Craig Reiter,Appliances,8.5164
Craig Reiter,Envelopes,45.3222
Cassandra Brandow,Storage,124.929
Sibella Parks,Storage,18.398
Roy Collins,Fasteners,5.2626
Tiffany House,Supplies,2.079
Tiffany House,Paper,28.7064
Tiffany House,Phones,28.6182
Resi PÃÂÃÂ¶lking,Furnishings,8.7285
Meg O'Connel,Paper,11.36
Tamara Dahlen,Art,1.7115
Rob Beeghly,Appliances,16.5888
Rob Beeghly,Paper,17.505
Rob Beeghly,Accessories,40.7499
Carol Darley,Accessories,4.5201
Doug Jacobs,Binders,4.6644
Doug Jacobs,Storage,2.5984
Doug Jacobs,Storage,18.522
Grant Thornton,Appliances,14.651
Michael Chen,Accessories,163.1898
Michael Chen,Labels,6.8714
Michael Chen,Paper,9.3312
Ralph Arnett,Bookcases,4.7996
Naresj Patel,Furnishings,14.5614
Naresj Patel,Phones,74.0532
Naresj Patel,Storage,10.3152
Alan Barnes,Accessories,24.936
Alan Barnes,Paper,16.032
Jesus Ocampo,Art,17.3488
Jesus Ocampo,Labels,17.76
Jesus Ocampo,Envelopes,62.8075
Jesus Ocampo,Labels,31.7512
Jesus Ocampo,Art,0.8088
Dorris liebe,Furnishings,4.1448
Alejandro Savely,Furnishings,35.6796
Brad Norvell,Paper,3.6288
Brad Norvell,Appliances,18.7695
Brad Norvell,Accessories,2.2824
David Philippe,Accessories,52.7824
David Philippe,Binders,15.768
Tracy Hopkins,Paper,26.6304
Arthur Prichep,Envelopes,8.8624
Roland Schwarz,Appliances,109.7226
Roland Schwarz,Phones,89.3142
Roland Schwarz,Accessories,113.9886
Dorris liebe,Binders,6.972
Seth Vernon,Furnishings,3.0814
Kelly Collister,Furnishings,24.4758
Christine Kargatis,Binders,19.4376
Christine Kargatis,Furnishings,21.996
Ross DeVincentis,Paper,73.41
Michael Paige,Storage,80.0199
Mathew Reese,Furnishings,21.112
Steve Chapman,Supplies,5.1282
Jay Fein,Envelopes,6.3684
Jay Fein,Phones,5.5992
Emily Grady,Paper,84.0512
Emily Grady,Storage,10.089
Emily Grady,Chairs,102.4998
Emily Grady,Labels,3.024
Darrin Sayre,Storage,9.7176
Darrin Sayre,Accessories,86.3856
Darrin Sayre,Binders,33.6474
Darrin Sayre,Binders,9.4284
Darrin Sayre,Bookcases,18.6956
Darrin Sayre,Binders,6.552
Gary Zandusky,Accessories,8.4966
Phillina Ober,Labels,4.2717
Sung Shariari,Paper,1.1466
Sung Shariari,Paper,1.6762
Sung Shariari,Supplies,6.2064
Maya Herman,Storage,7.1864
Peter BÃÂÃÂ¼hler,Phones,0.8994
Roland Fjeld,Binders,26.703
Roland Fjeld,Furnishings,56.7864
Roland Fjeld,Art,22.792
Roland Fjeld,Binders,1.4112
Yoseph Carroll,Copiers,374.9925
Melanie Seite,Furnishings,28.7712
Debra Catini,Storage,6.8768
Debra Catini,Accessories,47.92
Christine Phan,Binders,4.2666
Barry FranzÃÂÃÂ¶sisch,Paper,10.224
Andrew Roberts,Paper,27.9936
Julie Creighton,Labels,5.6994
Chris Selesnick,Envelopes,5.3392
Chris Selesnick,Envelopes,25.47
Chris Selesnick,Accessories,258.696
Chris Selesnick,Binders,2.7072
Chris Selesnick,Storage,34.3548
Anthony Johnson,Furnishings,23.316
Laurel Elliston,Chairs,179.7488
Benjamin Venier,Binders,9.14
Benjamin Venier,Phones,51.75
Benjamin Venier,Binders,16.175
Benjamin Venier,Binders,3.4695
Benjamin Venier,Art,10.881
Benjamin Venier,Furnishings,14.5236
Dan Lawera,Art,3.6855
Nick Zandusky,Chairs,40.8006
Nick Zandusky,Paper,28.1718
Nick Zandusky,Paper,11.7208
Nick Zandusky,Paper,1.926
Bryan Mills,Accessories,0.5998
Erin Ashbrook,Envelopes,87.7443
Clay Ludtke,Binders,5.8914
Liz Thompson,Chairs,34.8928
Sue Ann Reed,Binders,69.1008
Sue Ann Reed,Storage,4.1634
Sue Ann Reed,Binders,21.0896
Sue Ann Reed,Chairs,79.9056
Joe Kamberova,Phones,85.2475
Erica Smith,Labels,4.5816
Erica Smith,Paper,10.6428
Rick Hansen,Binders,9.8784
David Bremer,Paper,63.7392
David Bremer,Paper,6.2208
David Bremer,Labels,10.3488
Carlos Daly,Chairs,17.745
Helen Wasserman,Furnishings,7.3359
Helen Wasserman,Phones,18.8972
Helen Wasserman,Appliances,99.4896
Mike Caudle,Paper,6.2208
Gary McGarr,Furnishings,6.2152
Russell Applegate,Art,4.3176
Russell Applegate,Phones,247.996
Allen Armold,Furnishings,11.076
Allen Armold,Accessories,50.9898
Zuschuss Carroll,Art,3.2256
Zuschuss Carroll,Appliances,62.0368
Zuschuss Carroll,Accessories,2.578
Pauline Johnson,Furnishings,6.2152
Pauline Johnson,Accessories,601.9699
Bart Watters,Paper,24.8832
Dean Braden,Paper,1.8704
Cynthia Arntzen,Paper,14.5152
Cynthia Arntzen,Paper,117.432
Toby Ritter,Accessories,71.991
Toby Ritter,Labels,4.8118
Patrick Gardner,Accessories,4.068
Patrick Gardner,Accessories,40.3128
Greg Tran,Fasteners,16.8
Greg Tran,Supplies,10.7996
Greg Tran,Envelopes,7.4872
Joel Eaton,Chairs,90.588
Joel Eaton,Appliances,50.5848
Joel Eaton,Phones,51.8346
Joel Eaton,Phones,17.1574
Jennifer Braxton,Art,2.6412
Jennifer Braxton,Appliances,6.5164
James Lanier,Paper,3.2616
Ed Braxton,Phones,1.5804
Brian Moss,Art,16.3215
Brian Moss,Art,3.3408
Brian Moss,Bookcases,9.3024
Eudokia Martin,Binders,11.7
Eudokia Martin,Binders,8.7672
Eudokia Martin,Supplies,3.2944
Eudokia Martin,Labels,6.8714
Art Foster,Phones,23.4416
Art Foster,Chairs,77.7438
Guy Armstrong,Furnishings,8.5568
Cyma Kinney,Accessories,49.6048
Dave Poirier,Art,1.3416
Dave Poirier,Paper,18.6624
Valerie Dominguez,Art,50.1876
Greg Tran,Furnishings,14.6718
Greg Tran,Storage,9.7176
Berenike Kampe,Paper,18.7812
Berenike Kampe,Supplies,26.598
Berenike Kampe,Storage,5.7672
Sanjit Jacobs,Paper,3.5767
Sanjit Jacobs,Fasteners,3.58
Chuck Magee,Supplies,0.1472
Chuck Magee,Art,10.626
Anthony Johnson,Accessories,40.6878
Anthony Johnson,Art,0.5904
Anthony Johnson,Phones,5.1786
Anthony Jacobs,Labels,1.3583
Anthony Jacobs,Furnishings,21.2954
Linda Southworth,Labels,5.1792
Tracy Blumstein,Paper,17.22
Sally Matthias,Paper,5.2256
Sally Matthias,Binders,37.2204
Guy Armstrong,Paper,67.256
Chuck Clark,Furnishings,64.518
Chuck Clark,Accessories,13.1956
Chuck Clark,Accessories,66.9546
Harold Pawlan,Binders,23.1093
Harold Pawlan,Chairs,262.39
Dave Kipp,Storage,8.3268
Gary Zandusky,Art,5.9312
Peter McVee,Furnishings,10.048
Lauren Leatherbury,Furnishings,5.9364
Jill Stevenson,Binders,4.5318
Olvera Toch,Storage,1.6752
Ed Ludwig,Binders,18.4534
Cyma Kinney,Paper,16.9932
Jeremy Ellison,Accessories,14.995
Jeremy Ellison,Binders,18.6006
Tracy Hopkins,Paper,2.043
Tracy Hopkins,Art,5.4128
Tracy Hopkins,Phones,135.98
Pamela Coakley,Storage,42.0714
Pamela Coakley,Binders,24.5028
Hunter Lopez,Envelopes,5.0856
Maribeth Schnelling,Labels,51.8
George Bell,Paper,22.5408
Tamara Dahlen,Labels,3.393
Dave Brooks,Phones,20.2485
Logan Currie,Paper,9.6192
Logan Currie,Storage,2.5984
Logan Currie,Paper,6.2208
Patrick O'Donnell,Bookcases,12.1176
Patrick O'Donnell,Phones,2.7279
Patrick O'Donnell,Binders,19.791
Bill Eplett,Phones,323.946
Bill Eplett,Accessories,829.3754
Bill Eplett,Storage,81.0474
Sample Company A,Furnishings,9.102
Brian Moss,Furnishings,19.2454
Brian Moss,Accessories,56.0547
Rob Williams,Envelopes,50.4063
Roy Collins,Storage,6.8768
Sanjit Engle,Accessories,34.9074
Sanjit Engle,Phones,10.5552
Sanjit Engle,Appliances,113.848
Adam Hart,Binders,294.5488
Jessica Myrick,Paper,5.4432
Jessica Myrick,Accessories,53.55
Joel Jenkins,Art,12.936
Joel Jenkins,Appliances,9.5172
Alan Barnes,Art,2.5536
Alan Barnes,Art,21.3408
Alan Barnes,Paper,5.0286
Ralph Kennedy,Paper,4.1148
Catherine Glotzbach,Paper,15.2064
Catherine Glotzbach,Paper,5.4432
Catherine Glotzbach,Appliances,33.5772
Ruben Ausman,Accessories,54.3966
Rachel Payne,Paper,6.2208
Rachel Payne,Appliances,34.9648
Karen Carlisle,Paper,8.0464
Rob Williams,Binders,2.2098
John Lucas,Paper,15.552
John Lucas,Storage,140.5482
John Lucas,Binders,62.91
Ross Baird,Furnishings,75.5424
Ross Baird,Paper,5.4432
Ross Baird,Paper,7.92
Katherine Hughes,Furnishings,7.6416
Greg Hansen,Art,2.7168
Scott Williamson,Storage,43.45
Joseph Airdo,Phones,2.5893
Joseph Airdo,Paper,5.6376
Daniel Lacy,Furnishings,53.196
Lindsay Williams,Chairs,28.1372
Thomas Brumley,Binders,3.0576
Cynthia Voltz,Envelopes,10.94
Maribeth Schnelling,Labels,1.6704
Bryan Spruell,Labels,4.8118
Bryan Spruell,Art,9.7119
Bryan Spruell,Paper,6.2208
Bryan Spruell,Paper,91.968
Bryan Spruell,Labels,4.2336
Delfina Latchford,Furnishings,28.5984
Delfina Latchford,Labels,10.1493
Phillina Ober,Phones,3.2186
Phillina Ober,Binders,25.5798
Bart Watters,Machines,679.996
Ken Brennan,Paper,16.6698
Emily Burns,Chairs,93.2232
Tracy Zic,Art,0.8056
Tracy Zic,Phones,55.9984
